424_행정구역코드,평균공시지가(원/㎡),가구수,소득분위,단위면적당버스정류장개수,토지이용비율_주거,토지이용비율_상업,토지이용비율_공업,토지이용비율_녹지,토지이용비율_기타,1차산업_사업체규모(명/개),2차산업_사업체규모(명/개),3차산업_사업체규모(명/개),분산,총 인구수,참여율
1121063,4582830.794,9538,7분위,5.198776758,0.151218209,0.009727532,0,0.839054259,0,0,2.946280992,4.283333333,8.62E-05,18085,0.0029859
1121064,3680444.979,13823,5분위,36.92307692,0.937006335,0.062993665,0,0,0,0,9.072580645,4.091214326,0.000166248,22593,0.002611428
1121065,3680444.979,10797,5분위,25.45454545,1,0,0,0,0,0,1.992857143,2.420542636,0.00026777,17840,0.002522422
1121066,3680444.979,15523,6분위,35.35353535,0.937987684,0,0,0.062012316,0,0,2.682758621,2.03802535,0.000143797,23062,0.002384876
1121068,3680444.979,13680,5분위,37.5,0.97972859,0.02027141,0,0,0,0,3.341614907,2.173272933,0.000372937,22560,0.002260638
1121069,3680444.979,17289,5분위,35.18518519,0.81220721,0.18779279,0,0,0,0,3.414965986,2.467381591,0.000122034,22365,0.001699083
1121071,3680444.979,6422,7분위,55,0.73816921,0,0,0.26183079,0,0,2.209302326,2.99382716,0.000306179,15298,0.003529873
1121072,3680444.979,10649,6분위,58.20895522,0.951807399,0.048188852,3.75E-06,0,0,0,3.530183727,2.57566638,0.00014213,17338,0.002249394
1121073,3680444.979,16777,6분위,8.795180723,0.112128157,0,0,0.887871843,0,0,1.903846154,7.093012048,0.000237009,23385,0.003207184
1121082,3680444.979,11204,6분위,16.54135338,0.564717907,0,0,0.435282093,0,0,1.621794872,2.319306931,0.000287083,21902,0.003561319
1121083,3680444.979,14102,6분위,38.4057971,0.97844262,0.02155738,0,0,0,0,3.801089918,2.588870881,0.000192163,30512,0.002589145
1121081,3680444.979,12972,5분위,37.5,1,0,0,0,0,0,1.77092511,2.23608903,0.000219298,26759,0.002130124
1122051,11533520.07,9350,8분위,33.8028169,0.733194953,0.058292915,0,0.208512132,0,2,25.64473684,6.45194274,0.00027071,20524,0.002338725
1122052,11533520.07,9671,9분위,55.64516129,0.813295987,0.186704013,0,0,0,15.5,20.22483221,7.276853438,0.000265905,26237,0.003277814
1122053,9167659.076,14565,8분위,33.10580205,0.7055705,0.086951033,0,0.207478467,0,1,9.510429448,6.872294951,0.000210037,32437,0.001818911
1122054,11533520.07,11005,9분위,60.22727273,0.800154092,0.199845908,0,0,0,0,19.00847458,7.041826004,0.000170464,30833,0.002010833
1122055,9899941.413,11449,9분위,15.90909091,0.6472263,0.006197483,0,0.346576217,0,3,18.34200743,4.527667984,0.000348241,26771,0.003137724
1122056,10109151.47,4107,9분위,6.930693069,0.604913431,0,0,0.395086569,0,0,1.526315789,3.54084507,0.000128495,1969,0.012188928
1122057,10109151.47,14274,9분위,36,0.990321439,0.009678561,0,0,0,0,17.77966102,4.463838384,0.000163828,34464,0.001798979
1122058,10109151.47,5109,9분위,18.51851852,0.574580637,0,0,0.425419363,0,0,2.647058824,4.383141762,0.000108149,15707,0.002610301
1122059,9899941.413,7739,9분위,10.15625,0.536687488,0,0,0.463312512,0,0,35.30555556,4.562684366,0.00023966,22190,0.003064443
1122060,10109151.47,7275,9분위,30.76923077,0.887220051,0.112779949,0,0,0,2,17.47916667,6.616001834,0.000139811,19177,0.002242269
1122061,6801798.085,7997,8분위,38.80597015,1,0,0,0,0,0,6.557077626,4.117857143,0.000194807,20907,0.002008897
1122062,6801798.085,7644,8분위,34.28571429,1,0,0,0,0,0,31.83040936,5.070526774,0.000205251,16848,0.00308642
1122063,6801798.085,8671,8분위,24.35233161,0.494075679,0.028734904,0,0.477189416,0,1,8.723140496,6.154269972,0.00020998,19347,0.002946193
1122064,6801798.085,8284,8분위,24.58333333,0.497314819,0,0,0.502685181,0,1,6.181672026,6.890441176,0.000116731,18783,0.004472129
1122065,6801798.085,9812,8분위,37.75510204,0.979217135,0.020782865,0,0,0,0,7,4.146040453,0.000162421,23524,0.002763136
1122066,4568396.083,18222,8분위,20.83333333,0.372781044,0.004368304,0,0.622850652,0,3,15.58315335,7.749517561,0.000268536,43074,0.003250221
1122067,3950564.021,10829,7분위,9.234828496,0.165349595,0.051304529,0,0.783345876,0,6.6,5.681099656,6.665996598,0.000320009,21927,0.003511652
1122068,1328517.423,7209,8분위,8.123028391,0.072495722,1.09E-08,0,0.927504267,0,2,17.74193548,5.558156547,0.0002709,17560,0.003416856
1123051,11140155.82,7323,9분위,8.994708995,0.327843791,0.008459439,0,0.66369677,0,0,3.844793713,4.785232517,0.000206933,15993,0.002563622
1123052,11126967.34,14400,7분위,26.4,0.948270428,0.051729572,0,0,0,1,7.621268657,5.658775614,0.000121369,22073,0.002265211
1123053,11126967.34,11676,8분위,25.85034014,0.901242574,0.098757426,0,0,0,1,19.1694291,7.064033168,0.000154577,21018,0.0021886
1123077,11140155.82,10622,9분위,7.90513834,0.42728501,0.008366804,0,0.564348186,0,1,10.91856678,5.845095272,0.000135498,26305,0.00224292
1123078,15177640.92,11801,9분위,13.73390558,0.557675543,0.033441256,0,0.408883201,0,0,11.88888889,5.728035387,0.000127098,25684,0.002063542
1123058,14629602.55,5675,9분위,27.83505155,0.524433618,0.226316597,0,0.249249785,0,1,10.18484848,9.997151809,0.0002529,12878,0.002251902
1123059,14629602.55,13439,9분위,32.25806452,0.823497988,0.176502012,0,0,0,8,7.395894428,7.742953586,0.000212806,30436,0.00236562
1123060,12329032.8,7380,10분위,39.24050633,1,0,0,0,0,0,3.162790698,5.372707263,0.000183037,24165,0.001944962
1123079,12329032.8,12986,9분위,28.5,0.665970583,0.111169588,0,0.222859829,0,6,17.68421053,11.71042747,0.00030073,36507,0.003533569
1123063,12329032.8,10328,8분위,26.02739726,0.767790917,0.232209083,0,0,0,1,11.1640625,6.117511111,0.000197421,19815,0.002321474
1123064,13524115.21,23983,7분위,30.21276596,0.71465574,0.28534426,0,0,0,10.11111111,12.51008065,7.674185229,0.000338223,35587,0.002444713
1123065,13524115.21,15675,9분위,28.69565217,0.760446755,0.239553245,0,0,0,0,9.657894737,7.35301353,0.000223885,36072,0.002439565
1123066,8575488.928,8661,9분위,34.31372549,0.964605392,0.035394608,0,0,0,1,23.59230769,6.228973843,0.000150835,21405,0.003176828
1123067,8575488.928,11792,9분위,34.31372549,0.828492351,0.171507649,0,0,0,0,21.34246575,6.125586431,0.000135989,33163,0.002382173
1123068,5057810.131,2465,9분위,24.40944882,0.460383391,0,0,0.539616609,0,0,11.68,3.775590551,0.000171238,6470,0.001854714
1123080,4966082.936,8033,9분위,22.70916335,0.711573021,0.008563863,0,0.279863116,0,0,2.492537313,3.380837359,0.000229312,27874,0.002977685
1123071,5057810.131,9499,7분위,32.88590604,0.620549461,0,0,0.379450539,0,0,9.379781421,3.644041042,0.000205607,23710,0.002910164
1123076,1924897.726,17965,8분위,18.39622642,0.248038631,0.022672178,0,0.729289191,0,1,5.942528736,3.862445415,0.000370395,43232,0.002683198
1123072,3807632.667,8146,9분위,18.60465116,0.296560819,0.004743801,0,0.69869538,0,0,1.828571429,14.28550933,0.000198208,23260,0.00322442
1123073,3807632.667,7465,7분위,21.73913043,0.61765819,0,0,0.38234181,0,0,12.27777778,3.05562579,0.000234983,15073,0.003051815
1123074,7420399.558,7357,8분위,16.12903226,0.346497174,0.015517586,0,0.63798524,0,2,10.9516129,12.19875,0.000267776,17518,0.003653385
1123075,2740909.593,7876,8분위,23.07692308,0.320664843,0.089011867,0,0.59032329,0,0,15.04824561,7.713143428,0.000141102,14804,0.003107268
1124051,3566390.003,6377,7분위,10.38961039,0.428084358,0,0,0.571915642,0,13,3.419047619,2.55952381,0.000234304,12869,0.003419069
