행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
1121068,15688866.3239,302840.57,167031.0051,248480.8582,680651.7913,1108128.9912,899017.2241,714602.0406,575564.5472,548297.9887,489415.6036,514185.4942,380587.0983,275231.3774,702369.7988,278552.8589,150230.485,235089.9857,844930.8605,1100211.2891,737135.4526,665430.5878,480786.8825,567513.3503,531751.3781,552933.3941,482286.8072,413963.4418,1041645.1549
1121069,21356753.7483,247544.6411,81927.4598,317842.9074,1119346.5225,2310096.892,1646512.8513,1188618.7146,820468.7259,774152.9677,573599.1736,572443.909,406644.0645,319510.2075,669639.7333,206431.5177,75211.5131,327840.002,1637008.4163,1921656.2656,1186447.1907,868926.173,631812.8818,544035.5516,477563.1619,575176.4321,485642.4368,393683.1789,976970.2266
1121071,8000845.9516,385331.5512,189154.128,160260.2127,202762.3781,172727.2091,189872.91,258557.3886,366568.2387,378824.2109,324206.6407,270045.5748,211113.0349,166685.4227,378298.1845,446227.8503,210829.9185,211832.0524,182687.9756,191150.2108,236885.409,318976.0727,388155.8153,392576.8988,335725.2579,339047.5053,292816.4654,224854.9313,574672.5241
1121072,19036360.0621,355009.9109,191218.1716,243012.5192,577161.8688,1224977.8365,1167865.0651,1081901.8338,870137.9075,900993.1632,719956.0235,725500.1514,528656.0428,383552.2386,696681.3314,311998.2949,157683.9949,237657.1351,855288.5764,1341779.7088,996274.2276,805464.8884,665308.0339,652391.4978,606785.9855,701451.5227,604143.3087,448062.0234,985446.7714
1121073,22775136.3018,364154.4923,184421.2431,499456.961,1656816.3802,2514018.8011,1660693.6094,1260527.8288,1019096.3693,1052448.28,782220.2391,763598.8716,501708.4137,334122.6856,765950.3044,410948.0493,169516.2369,473651.3028,1503998.3195,1418151.8812,935170.0511,728663.867,599222.7009,491388.9174,468210.4199,536266.2235,473977.6392,392839.7839,813896.4606
1121082,15797704.903,349189.0222,222802.2322,393404.3606,503087.2538,700453.3007,637221.6018,627816.9477,578514.6902,708805.7818,617254.8251,620706.0041,517412.1516,398766.4193,1048600.1472,223715.6101,150479.992,478422.8274,558830.4065,564240.31,430321.7795,474450.3404,465238.275,607483.8593,581239.5832,667605.0744,627252.8859,541773.8084,1502615.4148
1121083,16076898.8016,627552.6949,333387.8862,425624.436,476676.2537,637015.7637,564155.7919,628245.658,590900.5872,727837.6409,521594.2683,543029.3592,452351.3103,334603.8634,724593.9532,603891.1667,318013.1973,395573.4479,544581.3981,718361.8975,543224.276,624075.2478,614461.7512,653212.5054,608937.0624,675581.672,549275.3573,472790.6774,1167349.6863
1121081,13848160.4129,444559.8487,262694.0996,429789.5084,462264.8416,512655.96,459474.4982,529027.6728000001,534202.7308,534265.9988,468804.5068,547629.5044,402570.914,315483.8927,733661.8037,473009.4469,237805.5118,303085.6116,516386.8395,501446.3647,454352.7437,480024.7237,484859.6315,511445.1565,531220.6958,636938.4122,548004.2667,391819.3568,1140675.8674
1122051,23557951.4186,696352.6558,390974.3244,798267.6729,649865.365,848748.8419,987035.981,1172750.2687,1172227.576,1325031.6022,973782.9075,754840.4193,576206.7104,464925.3036,913724.0495,703536.7489,350176.8178,646254.9616,909756.2994,1047398.2439,990473.1162,1209164.2747,1029664.4895,1071485.903,810432.6092,744096.1227,625552.83,523931.9965,1171293.2968
1122052,30430724.3499,656380.3562,395512.3029,666440.9116,754071.288,1360961.6961,1657101.5986,1896719.1826,1756620.0954,1770844.1887,1272309.2313,984402.0229,662304.4087,485474.61,847835.9921,750530.8224000001,375780.231,737629.921,1330121.99,1797658.9325,1822325.6416,1757178.5436,1352126.1422,1221406.7409,939353.8996,872344.6612,676709.8201,510702.8355,1119876.2778
